Task number	Mistake code or comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
1		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	directAnswer	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell.	Photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
2	7 ("List of foods associated with Halloween:" would be enough for the third paragraph first sentence)	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Would you like to know about Halloween foods commonly eaten in North America, Ireland, Great Britain, or somewhere else?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:  Barmbrack (Ireland) Bonfire toffee (Great Britain) Candy apples/toffee apples (Great Britain and Ireland) Candy apples, candy corn, candy pumpkins (North America)		
3		User: What kind of food goes in hotpots?	clarification	Do you want to know about basic hot pot ingredients,Lancashire hotpot, Chongqing hot pot, Nabemono or another type?	Hot pot	Basic stock is often made using: Water Salt Spices Meats and protein vary, and can include: Thinly sliced lamb, goat, beef, sometimes pork, chicken or other poultry	Lancashire hotpot	Lancashire hotpot is a stew originating from Lancashire in the North West of England. It consists of lamb or mutton and onion, topped with sliced potatoes (or a more traditional topping of pastry or puff pastry) and baked in a heavy pot on a low heat	Chongqing hot pot	Chongqing hot pot (simplified Chinese: 重庆火锅; traditional Chinese: 重慶火鍋; pinyin: Chóngqìng huǒguō), also known as spicy hot pot, is usually eaten at restaurants, but otherwise is similar to roadside malatang. Chongqing hot pot is similar to the dry stir-fried mala xiang guo (麻辣香锅) which is also eaten in restaurants.	Nabemono	Nabemono (鍋物, なべ物, nabe "cooking pot" + mono "thing"), or simply nabe, is a variety of Japanese hot pot dishes, also known as one pot dishes[1] and "things in a pot".[2]
4	13 & 17	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	clarification	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes. The largest reservoir of methane is under the seafloor in the form of methane clathrates.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
5		User: How did the Great Depression end in the United States?	directAnswer	The common view among most economists is that Roosevelt's New Deal policies either caused or accelerated the recovery, although his policies were never aggressive enough to bring the economy completely out of recession.	Great Depression	There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).						
6		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you want  camping grounds or lodging in the US or Canadian part of Glacier National Park ?	Glacier National Park (U.S.)	Many day hikes can be taken in the park. Back-country camping is allowed at campsites along the trails	Glacier National Park (Canada)	There are three campgrounds in the park.				
7		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	Do you want to know about breakfast foods for Ethiopians in general or specifically Ethiopian Jews?	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian Jewish cuisine	Ethiopian Jewish cuisine is the cuisine of the Beta Israel (Ethiopian Jews). The cuisine of the Ethiopian Jews is similar to the cuisine of other Ethiopians, with some variations.				
8	1 and 12	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	The IHR decision algorithm assists WHO Member States in deciding whether a potential PHEIC exists and whether the WHO should be notified.	Public Health Emergency of International Concern	A Public Health Emergency of International Concern (PHEIC) is a formal declaration by the World Health Organization (WHO) of "an extraordinary event which is determined to constitute a public health risk to other States through the international spread of disease and to potentially require a coordinated international response", formulated when a situation arises that is "serious, sudden, unusual, or unexpected", which "carries implications for public health beyond the affected state's national border" and "may require immediate international action".	Public Health Emergency of International Concern	The IHR decision algorithm assists WHO Member States in deciding whether a potential PHEIC exists and whether the WHO should be notified. The WHO should be notified if any two of the four following questions are affirmed:				
9		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
10		User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	clarification	Do you want to know about dredging and dumping as a result of port development?	Environmental threats to the Great Barrier Reef	Following a tour of the Great Barrier Reef area by WHC members, a 2012 UNESCO report, which criticised management of the Great Barrier Reef, specifically recommended no new port development						
11		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
12	2	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.						