	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0		User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerButRelevantInfo	I couldn't find anything on the foundation method; however, I did find information about the three-color method.	Color photography	The foundation of all practical color processes, the three-color method was first suggested in an 1855 paper by Scottish physicist James Clerk Maxwell, with the first color photograph produced by Thomas Sutton for a Maxwell lecture in 1861.						
1	It is suggested to remove the "all of them" option. This is because that the user annotator would be asked to explicitly select one option, otherwise the next agent turn would be forced to condense all answers into 1-2 sentences, which might be very challenging. If the user really wants to know all of them, they can ask as follow-up questions in the conversation.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	Different countries have different traditional Halloween foods. DO you want to know about foods that apply to North America, Great Britain, Ireland, Scotland, or all of them?	Halloween	Because in the Northern Hemisphere Halloween comes in the wake of the yearly apple harvest, candy apples (known as toffee apples outside North America), caramel apples or taffy apples are common Halloween treats made by rolling whole apples in a sticky sugar syrup, sometimes followed by rolling them in nuts.	Halloween	One custom that persists in modern-day Ireland is the baking (or more often nowadays, the purchase) of a barmbrack (Irish: báirín breac), which is a light fruitcake, into which a plain ring, a coin, and other charms are placed before baking.	Halloween	List of foods associated with Halloween:		
2		User: What kind of food goes in hotpots?	clarification	There are many different types of food ingredients that can be used in hotpots. Would you like to know the basic stocks, meats and proteins, starches, vegetables, or condiments?	Hot pot	Basic stock is often made using:	Hot pot	Meats and protein vary, and can include:	Hot pot	Starches include:	Hot pot	Vegetables such as:
3	There can be more answers to be found in the same paragraph: atmospheric methane and other planets 	User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Methane can be found below ground, as well as under the seafloor.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
4	Many other workers find out a few potential factors that contribute to the end of Great Depression, including WWII, New Deal and other government spendings.	User: How did the Great Depression end in the United States?	noAnswerButRelevantInfo	I could not find a specific reason as to how the Great Depression ended in the United States. I did find that the economy hit bottom in the winter of 1932–1933; then came four years of growth until the recession of 1937–1938 brought back high levels of unemployment.	Great Depression in the United States	The usual explanations include numerous factors, especially high consumer debt, ill-regulated markets that permitted overoptimistic loans by banks and investors, and the lack of high-growth new industries.						
5		User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Do you want to know about camp grounds and lodging in Glacier National Park in the United States or Canada?	Glacier National Park (U.S.)	Glacier National Park (U.S.)	Glacier National Park (Canada)	Glacier National Park (Canada)				
6		User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	clarification	There are many traditional breakfast dishes that Ethiopians will eat. Some examples are Kinche (Qinch’e), Fit-fit (or fir-fir), fatira, Chechebsa (or kita firfir), Genfo, and a variation of ful.	Ethiopian cuisine	Kinche (Qinch’e), a porridge, is a very common Ethiopian breakfast or supper.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.
7	Although the definition of "relevance" can be subjective, but many other workers find highly relevant information such as that WHO indicates there is no official category for a pandemic, or the definition of pandemic indicates it is basically an epidemic of an infectious disease that has spread across a large region.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
8		User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9	It seems like there is no information from the second paragraph is used in your response. Therefore, you should remove it. In addition, the project name "Abbot Point" is mentioned in the following paragraph in the same page. You should use that as the second paragraph instead.	User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	noAnswerButRelevantInfo	I could not find any specifics to answer your question. I did find that there was an approved plan called the Abbot Point port project to dump dredge spoil.	Great Barrier Reef	In December 2013, Greg Hunt, the Australian environment minister, approved a plan for dredging to create three shipping terminals as part of the construction of a coalport.	Great Barrier Reef	On 31 January 2014, the GBRMPA issued a dumping permit that will allow three million cubic metres of sea bed from Abbot Point, north of Bowen, to be transported and unloaded in the waters of the Great Barrier Reef Marine Park.				
10		User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	noAnswerNoRelevantInfo	Sorry, I did not find any useful information.								
11	In this example, it is great that you find many valid answers. However, if you decide to combine all answers into 1-2 sentences instead of asking a clarification question, please select "direct answer can be provided".	User: Did any specific country have a significantly less severe experience during the Great Depression?	clarification	There were quite a few countries that had a significantly less severe experience during the Great Depression. These included China, France, India, Ireland, Japan, Portugal, Soviet Union, and Spain.	Great Depression	China was largely unaffected by the Depression, mainly by having stuck to the Silver standard.	Great Depression	France's relatively high degree of self-sufficiency meant the damage was considerably less than in neighbouring states like Germany.	Great Depression	How much India was affected has been hotly debated.	Great Depression	Ireland was a largely agrarian economy, trading almost exclusively with the UK, at the time of the Great Depression.