	Feedback	Duration (min)	Our Comment	Dialogue Context	Dialogue Situation	Response	Evidence Page Title 1	Evidence Paragraph First Sentence 1	Evidence Page Title 2	Evidence Paragraph First Sentence 2	Evidence Page Title 3	Evidence Paragraph First Sentence 3	Evidence Page Title 4	Evidence Paragraph First Sentence 4
0	Very interesting and engaging task! I'd be interested to know how I did. There's certainly a bit of interpretation required to parse some of these user's requests! If you find my work acceptable, or have any questions or comments don't hesitate to let me know! Thank you and have a nice day.	83.1	It should be straightforward to find the answer to be "three-color method".	User: Who invented photography? Agent: Nic\u00e9phore Ni\u00e9pce, Henry Fox Talbot and Louis Daguerre are the inventors. User: When did color photography arrise? Agent: Do you want to know the time it was first attempted or the foundation method was proposed or the first photograph was made? User: Actually, what is the foundation method?	noAnswerButRelevantInfo	I'm not sure what the foundation method is. I did find that color photography was first attempted in the 1840s.	Color photography	Color photography was attempted beginning in the 1840s.						
1			Info about different countries cannot be found in the evidence paragraph. Add corresponding paragraphs.	User: Which country does Halloween originate from? Agent: I didn't find specific countries, but Halloween is thought to have roots in Christian beliefs and practices. User: What are some types of food eaten during Halloween?	clarification	There are many types of food eaten during Halloween. Would you like to know about North American, Irish, British or Scottish foods associated with Halloween?	Halloween	On All Hallows' Eve, many Western Christian denominations encourage abstinence from meat, giving rise to a variety of vegetarian foods associated with this day.						
2			We didn't make it clear in the instruction, but it would be ideal to label paragraphs in corresponding pages as evidence, instead of putting info from XXX (disambiguiation) pages.	User: What kind of food goes in hotpots?	clarification	There are many types of hot pot cooking. Would you like to know more about traditional Chinese, Korean, Japanese, English or another type of hot pot cooking?	Hot pot (disambiguation)	Hot pot is a dish or style of cooking from China, Taiwan, and southeast Asia.						
3				User: What is the main cause of contemporary climate change? Agent: It is caused by the emission of greenhouse gases, mostly carbon dioxide (CO2) and methane. Are you looking for the sources of such greenhouse gases? User: I'm curious to know where methane can be found?	directAnswer	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes. It has also been detected on other planets, including Mars, which has implications for astrobiology research.	Methane	Naturally occurring methane is found both below ground and under the seafloor and is formed by both geological and biological processes.						
4			Your response doesn't directly answer the "how" question. It only says when the recovery starts and there is no consensus about the cause, therefore it should be labelled as "relevant info" instead.	User: How did the Great Depression end in the United States?	directAnswer	In most countries of the world, recovery from the Great Depression began in 1933. There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).	Great Depression	In most countries of the world, recovery from the Great Depression began in 1933.	Great Depression	There is no consensus among economists regarding the motive force for the U.S. economic expansion that continued through most of the Roosevelt years (and the 1937 recession that interrupted it).				
5			We didn't make it clear in the instruction, but it would be ideal to label paragraphs in corresponding pages as evidence, instead of putting info from XXX (disambiguiation) pages. In addition, If you find entity ambiguity in the user request, please simply put the page title as the evidence paragraph. Please see example 4 under the "Example" tab at http://qa.cs.washington.edu:7782/task/qualification/preview#	User: Are there any camping grounds or lodging possibilities in the Glacier National Park?	clarification	Would you like to know about the Glacier National Park that is located in Canada or the park located in the United States?	Glacier National Park	Glacier National Park may refer to:  Glacier National Park (Canada), in British Columbia, Canada Glacier National Park (U.S.), in Montana, USA						
6				User: How do Ethiopians make Areki? Agent: Areki is a home distilled spirit that is often filtered through charcoal to remove off tastes or flavored by smoking or infusion with garlic. User: What do Ethiopians eat for breakfast?	directAnswer	Examples of Ethiopian breakfast foods include fit-fit, fatira, chechebsa, genfo and ful.	Ethiopian cuisine	Fit-fit or fir-fir is a common breakfast dish.	Ethiopian cuisine	Chechebsa (or kita firfir) resembles a pancake covered with berbere and niter kibbeh, or other spices, and may be eaten with a spoon.	Ethiopian cuisine	A variation of ful, a fava bean stew with condiments, served with baked rolls instead of injera, is also common for breakfast.		
7			Again, this should be "relevant info" instead of "direct answer", because the info you provide is not from WHO and not answering the request fully.	User: How does the WHO decide what constitutes an epidemic and what constitutes a pandemic?	directAnswer	An epidemic may be restricted to one location; however, if it spreads to other countries or continents and affects a substantial number of people, it may be termed a pandemic.	Epidemic	An epidemic may be restricted to one location; however, if it spreads to other countries or continents and affects a substantial number of people, it may be termed a pandemic.						
8				User: How are nations around the globe combatting climate change? Agent: Are you interested to know specifically about policies being used, international climate agreements, national responses or scientific consensus and society? User: Sorry, but none of them sounds interesting to me.	invalidDialogueContext									
9				User: What species are overfished in the Great Barrier Reef? Agent: Giant Triton and sharks are overfished. User: What do people dump in the water?	directAnswer	Over 90% of the pollution in the Great Barrier Reef is caused by farm runoff.	Great Barrier Reef	Another key threat faced by the Great Barrier Reef is pollution and declining water quality.						
10			Again, this should be "relevant" information instead.	User: Where is the Parinacota located? Agent: Parinacota lies on the western margin of the Altiplano in the Central Andes. In Chile, where most of the edifice is located, Parinacota lies in the commune of Putre, Arica y Parinacota Region, and in Bolivia in the Oruro Department of the Sajama Province. User: How was Parinacota discovered?	directAnswer	The region around Parinacota has been inhabited for about 7,000–10,000 years. It is difficult to say for sure who first discovered it.	Parinacota (volcano)	The region around Parinacota has been inhabited for about 7,000–10,000 years.						
11			If you go to the "Socio-economic effects" section in the "Great Depression" page, you will find out there are a few more countries. For example, Japan, Soviet Union, Spain and so on. Section outlines in Wikipedia pages can be useful in locating answers.	User: Did any specific country have a significantly less severe experience during the Great Depression?	directAnswer	Britain went off the gold standard, and suffered relatively less than other major countries in the Great Depression.	Great Depression	The world financial crisis now began to overwhelm Britain; investors around the world started withdrawing their gold from London at the rate of £2.5 million per day.						